index,StroopText,StroopColor,StroopCondition,correct,is_practice,practice_cue,practice_cont,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,vocal_RT,bad_baseline,filename,participant,session,date,expName,psychopyVersion,frameRate,
7,Green,white,Word,green,no,None,None,,,,,,,,,0,1,1,1,1.84,False,data/trial_001.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
7,Green,white,Word,green,no,None,None,,,,,,,,,0,1,1,1,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
8,Red,purple,CW,purple,no,None,None,,,,,,,,,0,2,2,2,1.253,False,data/trial_002.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
8,Red,purple,CW,purple,no,None,None,,,,,,,,,0,2,2,2,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
9,Orange,white,Word,orange,no,None,None,,,,,,,,,0,3,3,3,1.461,False,data/trial_003.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
9,Orange,white,Word,orange,no,None,None,,,,,,,,,0,3,3,3,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
10,Green,yellow,CW,yellow,no,None,None,,,,,,,,,0,4,4,4,0,False,data/trial_004.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
10,Green,yellow,CW,yellow,no,None,None,,,,,,,,,0,4,4,4,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
11,Blue,purple,CW,purple,no,None,None,,,,,,,,,0,5,5,5,1.751,False,data/trial_005.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
11,Blue,purple,CW,purple,no,None,None,,,,,,,,,0,5,5,5,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
12,Yellow,white,Word,yellow,no,None,None,,,,,,,,,0,6,6,6,0,False,data/trial_006.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
12,Yellow,white,Word,yellow,no,None,None,,,,,,,,,0,6,6,6,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
13,***,red,Color,red,no,None,None,,,,,,,,,0,7,7,7,0,False,data/trial_007.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
13,***,red,Color,red,no,None,None,,,,,,,,,0,7,7,7,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
14,******,purple,Color,purple,no,None,None,,,,,,,,,0,8,8,8,1.559,False,data/trial_008.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
14,******,purple,Color,purple,no,None,None,,,,,,,,,0,8,8,8,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
15,Green,blue,CW,blue,no,None,None,,,,,,,,,0,9,9,9,0,False,data/trial_009.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
15,Green,blue,CW,blue,no,None,None,,,,,,,,,0,9,9,9,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
16,***,red,Color,red,no,None,None,,,,,,,,,0,10,10,10,0.924,False,data/trial_010.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
16,***,red,Color,red,no,None,None,,,,,,,,,0,10,10,10,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
